transactionUuid,paymentUuid,status,updatedAt,paymentMethod,operationType,grossAmountInCents,takeRateunit,takeRate,takeRateAmountInCents,takeRateUnitGateway,takeRateGateway,takeRateAmountInCentsGateway,netAmountInCents,releaseInstallment,numberOfInstallments,releaseTime,scheduledFor
96be424e-f072-c8f4-01ea-1b4c665b041b,a7c47eea-ad12-ad44-d628-34baaeba0d41,CAPTURED,2020-09-24T22:08:17-03:00,CREDIT_CARD,CREDIT,5118,PERCENT,219,112,CURRENCY,0,0,5009,1,4,1,2020-09-25T22:08:18-03:00
03a4a483-6d93-b764-5409-bf9cd51ae19e,a7c47eea-ad12-ad44-d628-34baaeba0d41,CAPTURED,2020-09-24T22:08:17-03:00,CREDIT_CARD,CREDIT,5118,PERCENT,219,112,CURRENCY,0,0,5006,2,4,1,2020-09-25T22:08:18-03:00
263c4a2f-936f-fb84-38d9-53852f96003b,a7c47eea-ad12-ad44-d628-34baaeba0d41,CAPTURED,2020-09-24T22:08:17-03:00,CREDIT_CARD,CREDIT,5118,PERCENT,219,112,CURRENCY,0,0,5006,3,4,1,2020-09-25T22:08:18-03:00
84c47424-1eaa-d304-e62a-5511c6f65755,a7c47eea-ad12-ad44-d628-34baaeba0d41,CAPTURED,2020-09-24T22:08:17-03:00,CREDIT_CARD,CREDIT,5118,PERCENT,219,112,CURRENCY,0,0,5006,4,4,1,2020-09-25T22:08:18-03:00
0f7bb3f7-0a7a-92d4-4d9b-564af42c6cf3,9e803dc2-bf05-05f4-eb38-28816059454b,CAPTURED,2020-09-24T13:09:27-03:00,CASH,CREDIT,2506,PERCENT,184,46,CURRENCY,0,0,2460,1,1,30,2020-10-24T13:09:27-03:00
2f72c152-07e5-4b24-8d2a-6d818b9d41dc,c7e0c2cf-7ad0-ba74-67fb-ac6689212768,CAPTURED,2020-09-24T13:09:27-03:00,CREDIT_CARD,CREDIT,8369,PERCENT,219,183,CURRENCY,0,0,8186,1,2,1,2020-09-25T13:09:27-03:00
250ed049-f0d3-ff94-55a8-f3bd778b8e10,c7e0c2cf-7ad0-ba74-67fb-ac6689212768,CAPTURED,2020-09-24T13:09:27-03:00,CREDIT_CARD,CREDIT,8369,PERCENT,219,183,CURRENCY,0,0,8186,2,2,1,2020-09-25T13:09:27-03:00
57a19a5c-c662-0754-358b-67c094fb6c35,1cbdfe23-fb10-7374-129a-d34a2c8265c7,CAPTURED,2020-09-24T15:05:40-03:00,CASH,CREDIT,7023,PERCENT,184,129,CURRENCY,0,0,6894,1,1,30,2020-10-24T15:05:40-03:00
cc2fa79f-1b27-a714-c1fa-d4f8a70815de,9094f1b2-2a04-dae4-062a-6ff37b5913cc,CAPTURED,2020-09-24T15:05:40-03:00,CREDIT_CARD,CREDIT,5811,PERCENT,184,106,CURRENCY,0,0,5705,1,1,30,2020-10-24T15:05:40-03:00
3b1c1c17-1650-25b4-9d19-3cf0ef496083,af99553a-dbd2-1de4-42b9-f0b2df6d1701,CAPTURED,2020-09-24T18:57:23-03:00,CREDIT_CARD,CREDIT,4129,PERCENT,219,90,CURRENCY,0,0,4040,1,4,1,2020-09-25T18:57:23-03:00
4cef1450-b6a8-d314-53ca-878314e32d62,af99553a-dbd2-1de4-42b9-f0b2df6d1701,CAPTURED,2020-09-24T18:57:23-03:00,CREDIT_CARD,CREDIT,4129,PERCENT,219,90,CURRENCY,0,0,4039,2,4,1,2020-09-25T18:57:23-03:00
08cfc8cc-894f-ffe4-f92a-d0ef43a4e3a3,af99553a-dbd2-1de4-42b9-f0b2df6d1701,CAPTURED,2020-09-24T18:57:23-03:00,CREDIT_CARD,CREDIT,4129,PERCENT,219,90,CURRENCY,0,0,4039,3,4,1,2020-09-25T18:57:23-03:00
9c1fe439-08cf-dde4-3b2b-5e1205a57af1,af99553a-dbd2-1de4-42b9-f0b2df6d1701,CAPTURED,2020-09-24T18:57:23-03:00,CREDIT_CARD,CREDIT,4129,PERCENT,219,90,CURRENCY,0,0,4039,4,4,1,2020-09-25T18:57:23-03:00
12c37516-dc92-2f14-d5b8-a47a5ad6e2ba,e1f52b13-5a69-3be4-48bb-42430a930733,CAPTURED,2020-09-24T07:51:30-03:00,CASH,CREDIT,27998,PERCENT,184,515,CURRENCY,0,0,27483,1,1,30,2020-10-24T07:51:31-03:00
733773e8-d314-c9c4-50bb-2b6a8e948e2e,b6b82fb3-dea1-a9d4-0579-77824adb3dd7,CAPTURED,2020-09-24T11:23:26-03:00,CREDIT_CARD,CREDIT,14044,PERCENT,184,258,CURRENCY,0,0,13786,1,1,30,2020-10-24T11:23:26-03:00
40fcc1eb-3d27-5264-5a9a-a5cefde3f874,78b5df38-98e2-a874-21d8-155670751519,CAPTURED,2020-09-24T16:08:57-03:00,CREDIT_CARD,CREDIT,8866,PERCENT,219,194,CURRENCY,0,0,8673,1,3,1,2020-09-25T16:08:57-03:00
ce949e37-a141-d264-aaf9-c0c5a25e51b7,78b5df38-98e2-a874-21d8-155670751519,CAPTURED,2020-09-24T16:08:57-03:00,CREDIT_CARD,CREDIT,8866,PERCENT,219,194,CURRENCY,0,0,8672,2,3,1,2020-09-25T16:08:57-03:00
093ee251-76ee-d864-c4e9-800ab4d4eb47,78b5df38-98e2-a874-21d8-155670751519,CAPTURED,2020-09-24T16:08:57-03:00,CREDIT_CARD,CREDIT,8866,PERCENT,219,194,CURRENCY,0,0,8672,3,3,1,2020-09-25T16:08:57-03:00
70e3a456-67c8-6664-c078-dc82026ec14f,980eec8e-e9df-b644-e068-7de13083b90d,CAPTURED,2020-09-24T11:10:50-03:00,CASH,CREDIT,18197,PERCENT,184,334,CURRENCY,0,0,17863,1,1,30,2020-10-24T11:10:50-03:00
30cd1445-06ab-c2f4-08a9-877bd7c8f103,3d998a4b-b298-6574-a5c8-ed753e2eba77,CAPTURED,2020-09-24T11:10:50-03:00,CREDIT_CARD,CREDIT,5900,PERCENT,219,129,CURRENCY,0,0,5772,1,2,1,2020-09-25T11:10:50-03:00
60d7f37d-b993-3c84-87fa-c73e09dbc8b1,3d998a4b-b298-6574-a5c8-ed753e2eba77,CAPTURED,2020-09-24T11:10:50-03:00,CREDIT_CARD,CREDIT,5900,PERCENT,219,129,CURRENCY,0,0,5771,2,2,1,2020-09-25T11:10:50-03:00
caf5a7c3-8a8a-8ce4-1f4b-ee2d49cce616,253aec76-efad-fd24-a88b-67c901aa99b1,CAPTURED,2020-09-24T17:41:45-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6359,1,4,1,2020-09-25T17:41:45-03:00
6a927157-f24b-6804-635b-3a8d329a3ff3,253aec76-efad-fd24-a88b-67c901aa99b1,CAPTURED,2020-09-24T17:41:45-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,2,4,1,2020-09-25T17:41:45-03:00
9199b674-dae8-7604-0b98-84afb869097d,253aec76-efad-fd24-a88b-67c901aa99b1,CAPTURED,2020-09-24T17:41:45-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,3,4,1,2020-09-25T17:41:45-03:00
b44b92d9-5ae6-0d64-1ad9-bdacbd822721,253aec76-efad-fd24-a88b-67c901aa99b1,CAPTURED,2020-09-24T17:41:45-03:00,CREDIT_CARD,CREDIT,6499,PERCENT,219,142,CURRENCY,0,0,6357,4,4,1,2020-09-25T17:41:45-03:00
3146dfa8-f9ed-3894-494b-7d660f19f59f,5869f7ad-2b8b-7ab4-a32b-df9f2d06842f,CAPTURED,2020-09-24T23:28:07-03:00,CASH,CREDIT,7097,PERCENT,184,130,CURRENCY,0,0,6967,1,1,30,2020-10-24T23:28:07-03:00
86a9eacc-b24b-ccf4-aec8-505cba7d36bb,c3b09b30-11f4-bb74-9709-e3daba78aafd,CAPTURED,2020-09-24T23:28:07-03:00,CREDIT_CARD,CREDIT,9200,PERCENT,219,201,CURRENCY,0,0,9000,1,4,1,2020-09-25T23:28:07-03:00
3565649a-dbac-ce64-e3da-2cc74462594a,c3b09b30-11f4-bb74-9709-e3daba78aafd,CAPTURED,2020-09-24T23:28:07-03:00,CREDIT_CARD,CREDIT,9200,PERCENT,219,201,CURRENCY,0,0,8999,2,4,1,2020-09-25T23:28:07-03:00
d11328b3-ce00-8354-6cc9-c0c9b8de418c,c3b09b30-11f4-bb74-9709-e3daba78aafd,CAPTURED,2020-09-24T23:28:07-03:00,CREDIT_CARD,CREDIT,9200,PERCENT,219,201,CURRENCY,0,0,8999,3,4,1,2020-09-25T23:28:07-03:00
5695042d-9149-acd4-5828-14d5a44db756,c3b09b30-11f4-bb74-9709-e3daba78aafd,CAPTURED,2020-09-24T23:28:07-03:00,CREDIT_CARD,CREDIT,9200,PERCENT,219,201,CURRENCY,0,0,8999,4,4,1,2020-09-25T23:28:07-03:00
e3155c64-0df5-9874-0b38-18eac4285056,d66da4a5-3aee-8754-7e6b-8efad5eb87c4,CAPTURED,2020-09-24T23:02:24-03:00,CREDIT_CARD,CREDIT,4398,PERCENT,219,96,CURRENCY,0,0,4305,1,4,1,2020-09-25T23:02:24-03:00
97ef0fac-4185-e034-c999-57f6bf23807f,d66da4a5-3aee-8754-7e6b-8efad5eb87c4,CAPTURED,2020-09-24T23:02:24-03:00,CREDIT_CARD,CREDIT,4398,PERCENT,219,96,CURRENCY,0,0,4302,2,4,1,2020-09-25T23:02:24-03:00
055299b5-3d26-ef04-5aea-ceaf2a7cd8e5,d66da4a5-3aee-8754-7e6b-8efad5eb87c4,CAPTURED,2020-09-24T23:02:24-03:00,CREDIT_CARD,CREDIT,4398,PERCENT,219,96,CURRENCY,0,0,4302,3,4,1,2020-09-25T23:02:24-03:00
